ISSUER_NAME,MEETING_DATE,MEETING_TYPE,COUNTRY_A2,PROPOSAL_NUMBER,PROPOSAL_SUB_NUMBER,PROPOSAL_LABEL,PROPOSAL_TYPE_CODE,PROPOSAL_TEXT,PROPOSAL_LONGTEXT,RP_PROXY_ID,RP_PROPOSAL_ID,CREATED_DT,VP_Issue_Code,Research_Issue_Code,Proposal_Name
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
iShares II Plc,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
iShares II Plc,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",5,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",7,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
Orsted A/S,2024-03-05 10:00:00,A,"DK        ",12,0,6.3,P," Elect Andrew R. D. Brown as Vice Chair",ELECTION OF MEMBER TO THE BOARD OF DIRECTORS BY THE GENERAL MEETING: ELECTION OF THE DEPUTY CHAIR: ELECTION OF ANDREW BROWN AS DEPUTY CHAIR OF THE BOARD OF DIRECTORS,430711,4224732,2024-02-21 02:48:00,5102,5102," Elect Andrew R. D. Brown as Vice Chair"
Orsted A/S,2024-03-05 10:00:00,A,"DK        ",13,0,6.4.1,P,Elect Peter Korsholm,ELECTION OF THE OTHER MEMBER OF THE BOARD OF DIRECTORS: RE-ELECTION OF PETER  KORSHOLM AS MEMBER OF THE BOARD OF DIRECTORS,430711,4224733,2024-02-21 02:48:00,5100,5100,Elect Peter Korsholm
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
Signaux Girod,2024-03-28 10:00:00,Z,"FR        ",12,0,6,P,Elect Jacqueline Girod,RENEWAL OF THE TERM OF OFFICE OF JACQUELINE GIROD AS DIRECTOR OR APPOINTMENT  OF A NEW DIRECTOR REPLACING,434362,4228444,2024-02-21 02:48:00,5100,5100,Elect Jacqueline Girod
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
Tianma Microelectronics Co Ltd,2024-03-06 14:50:00,S,"CN        ",3,0,1.2,P,Elect ZENG Yumei,ELECTION OF DIRECTOR: ZENG YUMEI,440468,4230015,2024-02-21 02:48:00,5100,5100,Elect ZENG Yumei
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
iShares II Plc - EUR HY Corp Bd ESG UCITS ETF EUR,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
iShares II Plc - EUR HY Corp Bd ESG UCITS ETF EUR,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
Shanghai AJ Group Co Ltd.,2024-03-06 14:00:00,S,"CN        ",15,0,1.15,P,Authorization of Legal Formalities,PLAN FOR THE SHARE REPURCHASE BY MEANS OF CENTRALIZED BIDDING: SPECIFIC       AUTHORIZATION TO THE BOARD TO HANDLE MATTERS REGARDING THE SHARE REPURCHASE,440478,4230115,2024-02-21 02:48:00,5750,5750,Authorization of Legal Formalities
Yankershop Food Co. Ltd,2024-03-26 14:30:00,S,"CN        ",6,0,3.4,P,"Amendments to the Management System for Directors, Supervisors and Senior Management to Hold and Trade Stocks of the Company","AMENDMENTS TO THE COMPANY S RELEVANT GOVERNANCE SYSTEMS: AMENDMENTS TO THE    MANAGEMENT SYSTEM FOR SHARES HELD BY DIRECTORS, SUPERVISORS AND SENIOR        MANAGEMENT AND THE CHANGES THEREOF",440467,4230214,2024-02-21 02:48:00,6193,6193,"Amendments to the Management System for Directors, Supervisors and Senior Management to Hold and Trade Stocks of the Company"
Adams Natural Resources Fund Inc,2024-03-25 00:00:00,A,"US        ",1,2,1.,D,Elect Frederic A. Escherich,Frederic A. Escherich,433690,4227190,2024-02-21 02:48:00,100,100,Elect Frederic A. Escherich
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",8,0,5,P,Elect Padraig Kenny,TO RE-APPOINT PADRAIG KENNY AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH   THE UK CORPORATE GOVERNANCE CODE,440473,4230082,2024-02-21 02:48:00,5100,5100,Elect Padraig Kenny
BlackRock Asset Management Ireland Limited,2024-04-19 11:00:00,A,"IE        ",6,0,3,P,Authority to Set Auditor's Fees,TO AUTHORISE THE DIRECTORS TO FIX THE REMUNERATION OF THE AUDITORS,440473,4230080,2024-02-21 02:48:00,5230,5230,Authority to Set Auditor's Fees
Gogold Resources Inc,2024-03-26 18:00:00,A,"CA        ",4,0,1.3,P,Elect Phillip H. Gaunce,ELECTION OF DIRECTOR: PHILLIP GAUNCE,436467,4229084,2024-02-21 02:48:00,5100,5100,Elect Phillip H. Gaunce
Ono Sokki Co. Ltd,2024-03-19 10:00:00,A,"JP        ",7,0,2.1,P,Elect Takao Kaneko,"Appoint a Corporate Auditor Kaneko, Takao",436308,4228725,2024-02-21 02:48:00,5105,5105,Elect Takao Kaneko
Seah Besteel Holdings Corporation,2024-03-20 10:00:00,A,"KR        ",1,0,1,P,Financial Statements and Allocation of Profits/Dividends,APPROVAL OF FINANCIAL STATEMENTS,429215,4228948,2024-02-21 02:48:00,5031,5031,Financial Statements and Allocation of Profits/Dividends
Brunner Investment Trust plc,2024-03-25 12:00:00,A,"GB        ",5,0,5,P,Elect Elizabeth Field,RE-ELECT ELIZABETH FIELD AS DIRECTOR,439345,4227721,2024-02-21 02:48:00,5100,5100,Elect Elizabeth Field
Sidi Kerir Petrochemicals,2024-03-10 15:00:00,A,"EG        ",7,0,7,P,Charitable Donations,"RATIFY CHARITABLE AND ENVIRONMENTAL DONATIONS FOR FY 2023 , AUTHORIZE         CHARITABLE AND ENVIRONMENTAL DONATIONS ABOVE EGP 1 ,000 FOR FY 2024",435105,4222698,2024-02-21 02:48:00,6310,6310,Charitable Donations
Avivasa Emeklilik Ve Hayat A.S.,2024-03-19 16:00:00,A,"TR        ",16,0,13,P,Authority to Make Advance Payments of Dividends,"NEGOTIATION AND APPROVAL OF AUTHORIZING THE BOARD OF DIRECTORS TO DISTRIBUTE  ADVANCE DIVIDENDS, EFFECTIVE FOR THE ACCOUNTING PERIOD OF 2024",434994,4229177,2024-02-21 02:48:00,5000,5000,Authority to Make Advance Payments of Dividends
Avivasa Emeklilik Ve Hayat A.S.,2024-03-19 16:00:00,A,"TR        ",20,0,17,P,Wishes,WISHES AND REQUESTS,434994,4226928,2024-02-21 02:48:00,5759,5759,Wishes
