ISSUER_NAME,MEETING_DATE,MEETING_TYPE,COUNTRY_A2,PROPOSAL_NUMBER,PROPOSAL_SUB_NUMBER,PROPOSAL_LABEL,PROPOSAL_TYPE_CODE,PROPOSAL_TEXT,PROPOSAL_LONGTEXT,RP_PROXY_ID,RP_PROPOSAL_ID,CREATED_DT,ISSUE_CODE
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,9,0,5,P,APPROVAL OF THE REMUNERATION OF THE BOARD OF DIRECTORS FOR 2024,APPROVAL OF THE REMUNERATION OF THE BOARD OF DIRECTORS FOR 2024,NULL,NULL,3/4/2024 8:19,NULL
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,11,0,6.A,P,ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF HENNING DYREMOSE,ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF HENNING DYREMOSE,NULL,NULL,3/4/2024 8:19,NULL
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,12,0,6.B,P,ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF ERIK HOLM,ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF ERIK HOLM,NULL,NULL,3/4/2024 8:19,NULL
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,13,0,6.C,P,ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF ANN FOGELGREN,ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF ANN FOGELGREN,NULL,NULL,3/4/2024 8:19,NULL
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,14,0,6.D,P,ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF PETER GATH        (ELECTED BY CLASS B SHAREHOLDERS),ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF PETER GATH        (ELECTED BY CLASS B SHAREHOLDERS),NULL,NULL,3/4/2024 8:19,NULL
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,15,0,6.E,P,ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF NIELS A. JOHANSEN,ELECTION OF MEMBER TO THE BOARD OF DIRECTOR: RE-ELECTION OF NIELS A. JOHANSEN,NULL,NULL,3/4/2024 8:19,NULL
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,16,0,7,P,RE-ELECTION OF PWC STATSAUTORISERET REVISIONS PARTNER SELSKAB,RE-ELECTION OF PWC STATSAUTORISERET REVISIONS PARTNER SELSKAB,NULL,NULL,3/4/2024 8:19,NULL
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,17,0,8.1,P,APPROVAL OF REMUNERATION POLICY,APPROVAL OF REMUNERATION POLICY,NULL,NULL,3/4/2024 8:19,NULL
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,18,0,8.2,P,AUTHORISATION TO ACQUIRE OWN SHARES,AUTHORISATION TO ACQUIRE OWN SHARES,NULL,NULL,3/4/2024 8:19,NULL
Brdr.A&O Johansen,3/20/2024 14:00,A,DK        ,19,0,8.3,P,AUTHORISATION OF THE CHAIRMAN,AUTHORISATION OF THE CHAIRMAN,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,2,0,1,P,"REPORT OF THE BOARD OF DIRECTORS ON THE BANK S OPERATIONS, ACTIVITIES AND     FINANCIAL SITUATION DURING THE LAST FINANCIAL YEAR","REPORT OF THE BOARD OF DIRECTORS ON THE BANK S OPERATIONS, ACTIVITIES AND     FINANCIAL SITUATION DURING THE LAST FINANCIAL YEAR",NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,3,0,2,P,APPROVAL OF THE BANK S ANNUAL FINANCIAL STATEMENTS AND CONSOLIDATED ACCOUNTS  FOR THE LAST FINANCIAL YEAR,APPROVAL OF THE BANK S ANNUAL FINANCIAL STATEMENTS AND CONSOLIDATED ACCOUNTS  FOR THE LAST FINANCIAL YEAR,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,4,0,3,P,DECISION ON PAYMENT OF A DIVIDEND,DECISION ON PAYMENT OF A DIVIDEND,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,5,0,4,P,"ELECTION OF THE BANK S BOARD OF DIRECTORS, CHAIRMAN OF THE BOARD AND          VICE-CHAIRMAN","ELECTION OF THE BANK S BOARD OF DIRECTORS, CHAIRMAN OF THE BOARD AND          VICE-CHAIRMAN",NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,6,0,5,P,ELECTION OF AN AUDITING FIRM,ELECTION OF AN AUDITING FIRM,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,7,0,6,P,DECISION ON REMUNERATION TO THE BANK S BOARD OF DIRECTORS AND COMPENSATION TO MEMBERS OF THE BOARD S SUB-COMMITTEES,DECISION ON REMUNERATION TO THE BANK S BOARD OF DIRECTORS AND COMPENSATION TO MEMBERS OF THE BOARD S SUB-COMMITTEES,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,8,0,7,P,DECISION ON REMUNERATION TO MEMBERS OF THE BANK S NOMINATION COMMITTEE,DECISION ON REMUNERATION TO MEMBERS OF THE BANK S NOMINATION COMMITTEE,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,9,0,8,P,ELECTION OF TWO MEMBERS OF THE BANK S NOMINATION COMMITTEE,ELECTION OF TWO MEMBERS OF THE BANK S NOMINATION COMMITTEE,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,10,0,9,P,ELECTION OF ONE MEMBER OF THE BANK S AUDIT COMMITTEE,ELECTION OF ONE MEMBER OF THE BANK S AUDIT COMMITTEE,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,11,0,10,P,PROPOSAL TO AMEND THE BANK S REMUNERATION POLICY,PROPOSAL TO AMEND THE BANK S REMUNERATION POLICY,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,12,0,11,P,PROPOSAL TO RENEW THE BANK S AUTHORISATION TO PURCHASE OWN SHARES AND A       CORRESPONDING AMENDMENT TO THE ARTICLES OF ASSOCIATION,PROPOSAL TO RENEW THE BANK S AUTHORISATION TO PURCHASE OWN SHARES AND A       CORRESPONDING AMENDMENT TO THE ARTICLES OF ASSOCIATION,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,13,0,12,P,PROPOSALS TO AMEND THE BANK S ARTICLES OF ASSOCIATION,PROPOSALS TO AMEND THE BANK S ARTICLES OF ASSOCIATION,NULL,NULL,3/4/2024 8:19,NULL
Arion Bank hf.,3/13/2024 16:00,A,IS        ,14,0,13,P,OTHER BUSINESS,OTHER BUSINESS,NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,2,0,1,P,"THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE PUT ON NOTICE THAT UNITHOLDERS REJECT: (1) ANY        PROPOSAL TO ACQUIRE THE EXISTING REIT MANAGER (FULLY FUNCTIONING REIT MANAGER WITH THE NECESSARY LICENSES, PERSONNEL, ASSETS AND AN UNDERTAKING FROM THE    DIRECT AND INDIRECT OWNERS TO FULLY SUPPORT INTERNALISATION) DIRECTLY OR      INDIRECTLY FOR A MAXIMUM ALL-IN OFFER PRICE EXCEEDING SGD 10,000,000 AND ANY  SUCH TRANSACTION POST ONE MONTH ","THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE PUT ON NOTICE THAT UNITHOLDERS REJECT: (1) ANY        PROPOSAL TO ACQUIRE THE EXISTING REIT MANAGER (FULLY FUNCTIONING REIT MANAGER WITH THE NECESSARY LICENSES, PERSONNEL, ASSETS AND AN UNDERTAKING FROM THE    DIRECT AND INDIRECT OWNERS TO FULLY SUPPORT INTERNALISATION) DIRECTLY OR      INDIRECTLY FOR A MAXIMUM ALL-IN OFFER PRICE EXCEEDING SGD 10,000,000 AND ANY  SUCH TRANSACTION POST ONE MONTH OF THIS RESOLUTION, AND (2) ANY PROPOSAL TO   ACQUIRE ANY ASSETS (INCLUDING THE EMPLOYMENT CONTRACTS) OF THE EXISTING       MANAGER AT ANY PRICE",NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,3,0,2,P,"THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO PROVIDE ALL UNITHOLDERS OF SABANA         INDUSTRIAL REIT WITH A WRITTEN UPDATE ON THE INTERNALISATION PROCESS EVERY    MONTH, INCLUDING WITHOUT LIMITATION, THE COSTS INCURRED FOR ADVISORS,         CONSULTANTS ETC","THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO PROVIDE ALL UNITHOLDERS OF SABANA         INDUSTRIAL REIT WITH A WRITTEN UPDATE ON THE INTERNALISATION PROCESS EVERY    MONTH, INCLUDING WITHOUT LIMITATION, THE COSTS INCURRED FOR ADVISORS,         CONSULTANTS ETC",NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,4,0,3,P,"THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED, WITHIN TWO WEEKS OF THIS RESOLUTION, TO     FORM A COMMITTEE ( INTERNALISATION COMMITTEE ) CONSISTING OF MR IMRAN CHNG    PIA SER, MR LIM HOCK CHUAN, MR. HAVARD CHI CHER PAN, MR. LOW CHIN YEE, MR.    JAN FREDERIC MOERMANN AND MR. SAHA ANSHUMAN MANABENDRANATH, AND THE           INTERNALISATION COMMITTEE, IN THEIR CAPACITY AS THE AUTHORISED REPRESENTATIVE OF ALL UNITHOLDERS, SHALL BE CON","THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED, WITHIN TWO WEEKS OF THIS RESOLUTION, TO     FORM A COMMITTEE ( INTERNALISATION COMMITTEE ) CONSISTING OF MR IMRAN CHNG    PIA SER, MR LIM HOCK CHUAN, MR. HAVARD CHI CHER PAN, MR. LOW CHIN YEE, MR.    JAN FREDERIC MOERMANN AND MR. SAHA ANSHUMAN MANABENDRANATH, AND THE           INTERNALISATION COMMITTEE, IN THEIR CAPACITY AS THE AUTHORISED REPRESENTATIVE OF ALL UNITHOLDERS, SHALL BE CONSULTED BY THE TRUSTEE AND SUPERVISE THE       IMPLEMENTATION OF INTERNALISATION",NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,5,0,4,P,"THAT SHOULD THE TRUSTEE CONVENE AN EXTRAORDINARY GENERAL MEETING REGARDING    ANY PROPOSED AMENDMENTS TO THE TRUST DEED DATED 29 OCTOBER 2010 CONSTITUTING  SABANA INDUSTRIAL REIT (AS AMENDED, VARIED, OR SUPPLEMENTED FROM TIME TO      TIME) (THE  TRUST DEED ), THE TRUSTEE BE DIRECTED TO STATE, WITH RESPECT TO   EACH PROPOSED AMENDMENT (AND ANY CONSEQUENTIAL AMENDMENTS REQUIRED) TO THE    TRUST DEED (IF ANY): (A) WHETHER EACH SUCH PROPOSED AMENDMENT (AND ANY        CONSEQUENTIAL AMENDMENTS REQUIRE","THAT SHOULD THE TRUSTEE CONVENE AN EXTRAORDINARY GENERAL MEETING REGARDING    ANY PROPOSED AMENDMENTS TO THE TRUST DEED DATED 29 OCTOBER 2010 CONSTITUTING  SABANA INDUSTRIAL REIT (AS AMENDED, VARIED, OR SUPPLEMENTED FROM TIME TO      TIME) (THE  TRUST DEED ), THE TRUSTEE BE DIRECTED TO STATE, WITH RESPECT TO   EACH PROPOSED AMENDMENT (AND ANY CONSEQUENTIAL AMENDMENTS REQUIRED) TO THE    TRUST DEED (IF ANY): (A) WHETHER EACH SUCH PROPOSED AMENDMENT (AND ANY        CONSEQUENTIAL AMENDMENTS REQUIRED) ARE STRICTLY NECESSARY TO EFFECT           INTERNALISATION; AND (B) THE TRUSTEE S OPINION, AND REASONS FOR SUCH OPINION, ON WHETHER, EACH SUCH PROPOSED AMENDMENT (AND ANY CONSEQUENTIAL AMENDMENTS    REQUIRED) NECESSARY TO EFFECT INTERNALISATION MAY ADVERSELY AFFECT THE        INTERESTS OF THE MANAGER AND ITS SPONSOR[S], WHETHER DIRECTLY OR INDIRECTLY,  GIVEN THAT INTERNALISATION WOULD AFFECT THE FEE INCOME OF THE MANAGER AND ITS SPONSOR[S]",NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,6,0,5,P,"THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO CONSIDER AND CONFIRM WHETHER ANY PROPOSED AMENDMENTS TO THE TRUST DEED (IF ANY AMENDMENT IS REQUIRED AT ALL) TO EFFECT  INTERNALISATION OF THE REIT MANAGEMENT FUNCTION,  DOES NOT MATERIALLY         PREJUDICE THE INTERESTS OF THE HOLDERS AND DOES NOT OPERATE TO RELEASE TO ANY MATERIAL EXTENT THE TRUSTEE OR THE MANAGER FROM ANY RESPONSIBILITY TO THE     HOLDERS  ACCORDING TO CLAUSE 28.","THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO CONSIDER AND CONFIRM WHETHER ANY PROPOSED AMENDMENTS TO THE TRUST DEED (IF ANY AMENDMENT IS REQUIRED AT ALL) TO EFFECT  INTERNALISATION OF THE REIT MANAGEMENT FUNCTION,  DOES NOT MATERIALLY         PREJUDICE THE INTERESTS OF THE HOLDERS AND DOES NOT OPERATE TO RELEASE TO ANY MATERIAL EXTENT THE TRUSTEE OR THE MANAGER FROM ANY RESPONSIBILITY TO THE     HOLDERS  ACCORDING TO CLAUSE 28.2.1 OF THE TRUST DEED, AND IF NOT, TO PROVIDE THE BASIS AND REASONS FOR COMING TO SUCH CONCLUSION",NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,7,0,6,P,THAT THE TRUSTEE BE DIRECTED TO ENSURE THAT IT AND ITS ADVISORS UNDERTAKE     THEIR BEST ENDEAVOURS TO (1) IMPLEMENT THE INTERNALISATION PROCESS WITHOUT    ANY AMENDMENTS TO THE TRUST DEED; (2) ENSURE THAT ANY PROPOSED AMENDMENTS TO  THE TRUST DEED ARE ABSOLUTELY NECESSARY TO EFFECT INTERNALISATION; (3) SEEK   ANY NECESSARY WAIVERS FROM THE REGULATORS TO IMPLEMENT INTERNALISATION; AND   (4) IF ANY AMENDMENTS TO THE TRUST DEED REFERRED TO IN RESOLUTION 5 DO NOT    MATERIALLY PREJUDICE THE INTERES,"THAT THE TRUSTEE BE DIRECTED TO ENSURE THAT IT AND ITS ADVISORS UNDERTAKE     THEIR BEST ENDEAVOURS TO (1) IMPLEMENT THE INTERNALISATION PROCESS WITHOUT    ANY AMENDMENTS TO THE TRUST DEED; (2) ENSURE THAT ANY PROPOSED AMENDMENTS TO  THE TRUST DEED ARE ABSOLUTELY NECESSARY TO EFFECT INTERNALISATION; (3) SEEK   ANY NECESSARY WAIVERS FROM THE REGULATORS TO IMPLEMENT INTERNALISATION; AND   (4) IF ANY AMENDMENTS TO THE TRUST DEED REFERRED TO IN RESOLUTION 5 DO NOT    MATERIALLY PREJUDICE THE INTERESTS OF THE HOLDERS AND DO NOT OPERATE TO       RELEASE TO ANY MATERIAL EXTENT THE TRUSTEE OR THE MANAGER FROM ANY            RESPONSIBILITY TO THE HOLDERS, THE TRUSTEE BE DIRECTED TO PROVIDE SUCH        CERTIFICATION REFERRED TO IN CLAUSE 28.2.1 OF THE TRUST DEED",NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,8,0,7,P,"THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO INCORPORATE THE GOVERNANCE RIGHTS WHICH   ENABLE UNITHOLDERS TO APPOINT, VOTE IN, REMOVE AND RE-ELECT DIRECTORS IN THE  CONSTITUTION OF THE INTERNAL MANAGER TO BE SET UP AND NO AMENDMENT TO THE     TRUST DEED IS REQUIRED","THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO INCORPORATE THE GOVERNANCE RIGHTS WHICH   ENABLE UNITHOLDERS TO APPOINT, VOTE IN, REMOVE AND RE-ELECT DIRECTORS IN THE  CONSTITUTION OF THE INTERNAL MANAGER TO BE SET UP AND NO AMENDMENT TO THE     TRUST DEED IS REQUIRED",NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,9,0,8,P,"THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO INCORPORATE UNITHOLDER S RIGHT TO APPROVE ANY CHANGE OF CONTROL IN THE INTERNAL MANAGER IN THE MANAGEMENT AGREEMENT     WITH THE INTERNAL MANAGER AND NO AMENDMENT TO THE TRUST DEED IS REQUIRED","THAT THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO INCORPORATE UNITHOLDER S RIGHT TO APPROVE ANY CHANGE OF CONTROL IN THE INTERNAL MANAGER IN THE MANAGEMENT AGREEMENT     WITH THE INTERNAL MANAGER AND NO AMENDMENT TO THE TRUST DEED IS REQUIRED",NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,10,0,9,P,"THAT IN VIEW THAT THE TRUSTEE HAS INDICATED IN ITS STATEMENT OF 7 NOVEMBER    2023 THAT  IT IS AND WILL REMAIN, NEUTRAL AND INDEPENDENT OF THE MANAGER ,    THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES      (SINGAPORE) LIMITED, BE DIRECTED TO DISCLOSE, TO THE EXTENT PERMITTED BY LAW, A LIST OF ALL CORRESPONDENCE, EMAILS, LETTERS, MEETINGS, CALLS, TIMING AND    DATES WITH EACH OWNER OR BENEFICIARY (AND/OR THEIR RELATED PARTIES) OF THE    SABANA REIT MANAGER (IF ANY) SIN","THAT IN VIEW THAT THE TRUSTEE HAS INDICATED IN ITS STATEMENT OF 7 NOVEMBER    2023 THAT  IT IS AND WILL REMAIN, NEUTRAL AND INDEPENDENT OF THE MANAGER ,    THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL TRUST SERVICES      (SINGAPORE) LIMITED, BE DIRECTED TO DISCLOSE, TO THE EXTENT PERMITTED BY LAW, A LIST OF ALL CORRESPONDENCE, EMAILS, LETTERS, MEETINGS, CALLS, TIMING AND    DATES WITH EACH OWNER OR BENEFICIARY (AND/OR THEIR RELATED PARTIES) OF THE    SABANA REIT MANAGER (IF ANY) SINCE 7 AUGUST 2023, TOGETHER WITH A SUMMARY OF  THE MATTERS DISCUSSED",NULL,NULL,3/4/2024 8:19,NULL
Sabana Industrial Real Estate Investment Trust,3/8/2024 10:30,S,SG        ,11,0,10,P,"THAT IF THE TRUST DEED IS PROPOSED TO BE AMENDED IN CONNECTION WITH THE       INTERNALISATION, THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL    TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO IMMEDIATELY SEEK WRITTEN   CONFIRMATION, GUIDANCE AND/OR DIRECTIONS FROM THE MAS, THE SGX-ST AND THE     HIGH COURT OF SINGAPORE IN THE TRUSTEE S ONGOING APPLICATION IN HC/OA 19/2024 ON (A) WHETHER THE MANAGER AND ITS SHAREHOLDERS AND RELATED PARTIES ARE IN A  CONFLICT OF INTEREST SITUATION W","THAT IF THE TRUST DEED IS PROPOSED TO BE AMENDED IN CONNECTION WITH THE       INTERNALISATION, THE TRUSTEE OF SABANA INDUSTRIAL REIT, HSBC INSTITUTIONAL    TRUST SERVICES (SINGAPORE) LIMITED, BE DIRECTED TO IMMEDIATELY SEEK WRITTEN   CONFIRMATION, GUIDANCE AND/OR DIRECTIONS FROM THE MAS, THE SGX-ST AND THE     HIGH COURT OF SINGAPORE IN THE TRUSTEE S ONGOING APPLICATION IN HC/OA 19/2024 ON (A) WHETHER THE MANAGER AND ITS SHAREHOLDERS AND RELATED PARTIES ARE IN A  CONFLICT OF INTEREST SITUATION WHERE SUCH RESOLUTION TO AMEND THE TRUST DEED, IF PASSED, WILL IMPACT THEIR FEE INCOME FROM THE EXISTING MANAGER; AND (B)    WHETHER THEY OUGHT TO BE PERMITTED TO VOTE IN RELATION TO ANY SUCH RESOLUTION TO AMEND THE TRUST DEED FOR THE AFORESAID OR ANY OTHER REASON",NULL,NULL,3/4/2024 8:19,NULL
Axtel S.A.B. DE C.V.,3/8/2024 10:15,A,MX        ,1,0,1,P,"PRESENTATION AND, WHERE APPROPRIATE, APPROVAL OF THE REPORTS REFERRED TO IN   ARTICLE 28, SECTION IV, OF THE LEY DEL MERCADO DE VALORES, REGARDING TO THE   2023 FISCAL YEAR","PRESENTATION AND, WHERE APPROPRIATE, APPROVAL OF THE REPORTS REFERRED TO IN   ARTICLE 28, SECTION IV, OF THE LEY DEL MERCADO DE VALORES, REGARDING TO THE   2023 FISCAL YEAR",NULL,NULL,3/4/2024 8:19,NULL
Axtel S.A.B. DE C.V.,3/8/2024 10:15,A,MX        ,2,0,2,P,"PROPOSAL ON THE APPLICATION OF THE INCOME STATEMENT FOR THE 2023 FINANCIAL    YEAR, WHICH INCLUDES THE DETERMINATION OF THE MAXIMUM AMOUNT OF RESOURCES     THAT MAY BE ALLOCATED FOR THE BUYBACK PROGRAM OF SHARES OF THE COMPANY","PROPOSAL ON THE APPLICATION OF THE INCOME STATEMENT FOR THE 2023 FINANCIAL    YEAR, WHICH INCLUDES THE DETERMINATION OF THE MAXIMUM AMOUNT OF RESOURCES     THAT MAY BE ALLOCATED FOR THE BUYBACK PROGRAM OF SHARES OF THE COMPANY",NULL,NULL,3/4/2024 8:19,NULL
Axtel S.A.B. DE C.V.,3/8/2024 10:15,A,MX        ,3,0,3,P,"ELECTION OF THE MEMBERS OF THE BOARD OF DIRECTORS, AS WELL AS THE CHAIRMAN OF THE AUDIT AND CORPORATE PRACTICES COMMITTEE DETERMINATION OF THEIR            REMUNERATIONS AND RELATED AGREEMENTS","ELECTION OF THE MEMBERS OF THE BOARD OF DIRECTORS, AS WELL AS THE CHAIRMAN OF THE AUDIT AND CORPORATE PRACTICES COMMITTEE DETERMINATION OF THEIR            REMUNERATIONS AND RELATED AGREEMENTS",NULL,NULL,3/4/2024 8:19,NULL
Axtel S.A.B. DE C.V.,3/8/2024 10:15,A,MX        ,4,0,4,P,APPOINTMENT OF DELEGATES,APPOINTMENT OF DELEGATES,NULL,NULL,3/4/2024 8:19,NULL
Axtel S.A.B. DE C.V.,3/8/2024 10:15,A,MX        ,5,0,5,P,"READING AND, WHERE APPROPRIATE, APPROVAL OF THE MINUTES OF THE MEETING","READING AND, WHERE APPROPRIATE, APPROVAL OF THE MINUTES OF THE MEETING",NULL,NULL,3/4/2024 8:19,NULL
Bankinter SA,3/21/2024 12:30,A,ES        ,4,0,1,P,"REVIEW AND APPROVAL OF THE SEPARATE FINANCIAL STATEMENTS (BALANCE SHEET,      INCOME STATEMENT, STATEMENT OF CHANGES IN EQUITY, STATEMENT OF CASH FLOWS AND THE NOTES TO THE FINANCIAL STATEMENTS) AND MANAGEMENT REPORT OF BANKINTER,    S.A., AND THE CONSOLIDATED FINANCIAL STATEMENTS AND MANAGEMENT REPORT OF THE  CONSOLIDATED GROUP FOR THE FINANCIAL YEAR ENDED 31 DECEMBER 2023","REVIEW AND APPROVAL OF THE SEPARATE FINANCIAL STATEMENTS (BALANCE SHEET,      INCOME STATEMENT, STATEMENT OF CHANGES IN EQUITY, STATEMENT OF CASH FLOWS AND THE NOTES TO THE FINANCIAL STATEMENTS) AND MANAGEMENT REPORT OF BANKINTER,    S.A., AND THE CONSOLIDATED FINANCIAL STATEMENTS AND MANAGEMENT REPORT OF THE  CONSOLIDATED GROUP FOR THE FINANCIAL YEAR ENDED 31 DECEMBER 2023",NULL,NULL,3/4/2024 8:19,NULL
Bankinter SA,3/21/2024 12:30,A,ES        ,5,0,2,P,REVIEW AND APPROVAL OF THE NON-FINANCIAL STATEMENT IN ACCORDANCE WITH LAW     11/2018 OF 28 DECEMBER,REVIEW AND APPROVAL OF THE NON-FINANCIAL STATEMENT IN ACCORDANCE WITH LAW     11/2018 OF 28 DECEMBER,NULL,NULL,3/4/2024 8:19,NULL
Bankinter SA,3/21/2024 12:30,A,ES        ,6,0,3,P,REVIEW AND APPROVAL OF THE BOARD OF DIRECTORS  MANAGEMENT AND PERFORMANCE     DURING THE FINANCIAL YEAR ENDED 31 DECEMBER 2023,REVIEW AND APPROVAL OF THE BOARD OF DIRECTORS  MANAGEMENT AND PERFORMANCE     DURING THE FINANCIAL YEAR ENDED 31 DECEMBER 2023,NULL,NULL,3/4/2024 8:19,NULL
Bankinter SA,3/21/2024 12:30,A,ES        ,7,0,4,P,REVIEW AND APPROVAL OF THE PROPOSED DISTRIBUTION OF EARNINGS AND DIVIDENDS    FOR THE FINANCIAL YEAR ENDED 31 DECEMBER 2023,REVIEW AND APPROVAL OF THE PROPOSED DISTRIBUTION OF EARNINGS AND DIVIDENDS    FOR THE FINANCIAL YEAR ENDED 31 DECEMBER 2023,NULL,NULL,3/4/2024 8:19,NULL
Bankinter SA,3/21/2024 12:30,A,ES        ,8,0,5,P,RE-ELECTION OF THE AUDITOR OF THE COMPANY AND THE CONSOLIDATED GROUP FOR THE  2024 FINANCIAL YEAR,RE-ELECTION OF THE AUDITOR OF THE COMPANY AND THE CONSOLIDATED GROUP FOR THE  2024 FINANCIAL YEAR,NULL,NULL,3/4/2024 8:19,NULL
Bankinter SA,3/21/2024 12:30,A,ES        ,9,0,6.1,P,APPOINTMENT OF GLORIA ORTIZ PORTERO AS EXECUTIVE DIRECTOR,APPOINTMENT OF GLORIA ORTIZ PORTERO AS EXECUTIVE DIRECTOR,NULL,NULL,3/4/2024 8:19,NULL
