PROPOSAL_LONGTEXT,Research_Issue_Code
PLAN FOR THE SHARE REPURCHASE BY MEANS OF CENTRALIZED BIDDING: OBJECTIVE OF   THE SHARE REPURCHASE,5838
PLAN FOR THE SHARE REPURCHASE BY MEANS OF CENTRALIZED BIDDING: PRICE OF THE   SHARES TO BE REPURCHASED,5838
AMENDMENTS TO THE COMPANY S RELEVANT GOVERNANCE SYSTEMS: AMENDMENTS TO THE    IMPLEMENTING RULES FOR CUMULATIVE VOTING SYSTEM,6193
VOTING ON THE AMENDMENT TO ARTICLE (3) OF THE COMPANY S BY-LAWS RELATING TO   THE OBJECTIVES OF THE COMPANY,6185
VOTING ON THE AMENDMENT TO ARTICLE (9) OF THE COMPANY S BY-LAWS RELATING TO   TRADING OF SHARES,6180
Authorizations to the Board of Directors to increase the share capital of the Company and to let the Company issue convertible debt instruments.,5809
"APPROVE CREATION OF SEK 399,781.20 POOL OF CAPITAL WITH PREEMPTIVE RIGHTS",5801
ADOPT NEW ARTICLES OF ASSOCIATION,6184
APPROVAL OF FINANCIAL STATEMENT,5031
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS FOR FY 2023,5030
AMENDMENTS TO THE CONNECTED TRANSACTION MANAGEMENT SYSTEM,6193
ELECTION OF DIRECTOR: GUO GAOHANG,5100
"DETERMINATION OF FEES AND SUCH OTHER RIGHTS AS REMUNERATION, BONUS AND        PREMIUM OF THE DIRECTORS",5505
VOTING ON THE AMENDMENT TO ARTICLE (27) OF THE COMPANY S BY-LAWS RELATING TO  THE ASSEMBLIES RESOLUTIONS,6180
VOTING ON THE DELETION TO ARTICLE (30) FROM THE COMPANY S BY-LAWS RELATING TO THE ISSUING GENERAL ASSEMBLY DECISIONS BY CIRCULATION,6180
AMENDMENTS TO THE COMPANY S RELEVANT GOVERNANCE SYSTEMS: AMENDMENTS TO THE    RAISED FUNDS MANAGEMENT SYSTEM,6193
AMENDMENTS TO THE COMPANY S RELEVANT GOVERNANCE SYSTEMS: AMENDMENTS TO THE    FINANCING MANAGEMENT MEASURES,6193
Re-election of Rolf Hoffmann,5100
Re-election of Dr. Paolo Paoletti,5100
Election of auditor: Election of Deloitte Statsautoriseret Revisionspartnerselskab,5200
APPROVAL OF FINANCIAL STATEMENTS,5031
APPROVAL OF FINANCIAL STATEMENTS,5031
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
RE-ELECT CHARLES GIRALDEZ AS DIRECTOR,5100
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
AUTHORISE MARKET PURCHASE OF ORDINARY SHARES,5838
TO CONSOLIDE THE CORPORATE BYLAWS OF THE COMPANY IN ORDER TO REFLECT THE      AMENDMENT ABOVE,6180
DETERMINATION OF THE REMUNERATION PAYABLE TO THE BOARD OF DIRECTORS FOR THE   FINANCIAL YEAR 2024,5505
REAPPOINT AUDITORS AND FIX THEIR REMUNERATION FOR FY 2024,5220
ELECTION OF OUTSIDE DIRECTOR HEO YUN,5100
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
ORGANIZATIONAL MATTERS: PREPARATION OF THE ATTENDANCE LIST AND CONFIRMATION   OF THE CORRECTNESS OF CONVENING THE MEETING AND ITS ABILITY TO ADOPT          IMPORTANT RESOLUTIONS,5759
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
AMENDMENTS TO THE SYSTEM FOR INDEPENDENT DIRECTORS,6193
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
NEGOTIATION AND APPROVAL OF THE PLANNED AMENDMENT TO ARTICLE 34 OF THE        COMPANY S ARTICLES OF ASSOCIATION,5000
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
DETERMINATION OF LIMITS OF DONATIONS TO BE MADE BY THE COMPANY WITHIN THE     YEAR 2024,6310
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
PLAN FOR THE SHARE REPURCHASE BY MEANS OF CENTRALIZED BIDDING: TYPE OF SHARES TO BE REPURCHASED,5838
VOTING ON THE AMENDMENT TO ARTICLE (8) OF THE COMPANY S BY-LAWS RELATING TO   SHAREHOLDERS REGISTRY,6180
Approval of the Board of Directors  remuneration for 2024.,5505
Amendment of the Articles of Association (indemnification scheme).,6185
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
TO RE-APPOINT DELOITTE AS AUDITORS OF THE COMPANY,5200
ELECTION OF DIRECTOR: TERRENCE COOPER,5100
"Appoint a Director Okoshi, Yuji",5100
"Appoint a Director Iida, Norimasa",5100
TO CONSIDER AND APPROVE THE RESOLUTION ON THE AMENDMENTS TO THE ARTICLES OF   ASSOCIATION,6184
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS,5030
APPROVE FINAL DIVIDEND,5000
ELECTION OF INSIDE DIRECTOR JUNG JUN,5100
PRESENTATION OF THE REMUNERATION REPORT FOR AN ADVISORY VOTE,5600
ELECTION OF INSIDE DIRECTOR JO WON TAE,5100
POWERS TO FORMALITIES,5750
"OPENING, AND APPOINTMENT OF THE CHAIRPERSONSHIP COMMITTEE OF THE MEETING",5759
SUBMITTING THE CURRENT SHARE BUYBACK PROGRAM TO THE GENERAL ASSEMBLY FOR      INFORMATION AND APPROVAL,5838
PLAN FOR THE SHARE REPURCHASE BY MEANS OF CENTRALIZED BIDDING: TOTAL AMOUNT   AND SOURCE OF FUNDS TO BE USED IN SHARE REPURCHASE,5838
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
AUTHORIZATION TO THE BOARD TO HANDLE MATTERS REGARDING THE EQUITY INCENTIVE,5750
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
RELEASE OF THE BOARD OF DIRECTORS FROM ITS RESPONSIBILITIES ARISING OUT OF    BUSINESS ACTIVITIES OF 2023,5700
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
"PLAN FOR THE SHARE REPURCHASE BY MEANS OF CENTRALIZED BIDDING: STATEMENT ON   WHETHER THERE IS SALE OR BUY OF THE COMPANY S SHARES, PROFIT CONFLICT WITH    THE REPURCHASE PLAN, INSIDER TRADING OR MARKET MANIPULATION AND SHAREHOLDING  INCREASE OR DECREASE PLAN DURING THE REPURCHASE PERIOD BY DIRECTORS,          SUPERVISORS, SENIOR MANAGEMENT, THE CONTROLLING SHAREHOLDERS, DE FACTO        CONTROLLERS AND REPURCHASE PROPOSER 6-MONTH MONTHS PRIOR TO THE SHARE         REPURCHASE RESOLUTION MADE BY THE BOARD OF DIRECTORS",5838
Indemnification of the Board of Directors.,5180
"Appoint a Corporate Auditor Fuji, Yasunori",5105
APPROVAL OF REMUNERATION FOR AUDITOR,5520
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
RE-ELECT LUCIEN CAYTAN AS DIRECTOR,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
APPROVAL OF PARTIAL AMENDMENT TO ARTICLES OF INCORPORATION,6184
ELECTION OF MEMBER TO THE BOARD OF DIRECTORS BY THE GENERAL MEETING: ELECTION OF SIX MEMBERS OF THE BOARD OF DIRECTORS,5170
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT PETER VIVIAN AS A DIRECTOR OF THE COMPANY IN ACCORDANCE WITH    THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
"Appoint a Corporate Auditor Tsuchiya, Kikuo",5105
ELECTION OF OUTSIDE DIRECTOR WHO IS AN AUDIT COMMITTEE MEMBER JEONG SEUNG IL,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
ELECTION OF THE OTHER MEMBER OF THE BOARD OF DIRECTORS: RE-ELECTION OF JULIA  KING AS MEMBER OF THE BOARD OF DIRECTORS,5100
APPROVE AUDITORS  REPORT ON COMPANY FINANCIAL STATEMENTS FOR FY 2023,5759
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
RENEWAL OF THE TERM OF OFFICE OF MR CLAUDE GIROD OR APPOINTMENT OF A NEW      DIRECTOR TO REPLACE HIM,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
ELECTION OF AUDITOR,5200
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
AMENDMENTS TO THE COMPANY S RELEVANT GOVERNANCE SYSTEMS: AMENDMENTS TO THE    EXTERNAL INVESTMENT MANAGEMENT MEASURES,6193
Kenneth J. Dale,100
Re-election of Dr. Anders Gersel Pedersen,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
TO RE-APPOINT WILLIAM MCKECHNIE AS A DIRECTOR OF THE COMPANY IN ACCORDANCE    WITH THE UK CORPORATE GOVERNANCE CODE,5100
